,Accident Date/Time,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,Time from Incident to Shutdown,Accident after Shutdown,Shutdown Period
10,1/11/2010 2:30 PM,TARGA RESOURCES OPERATING LP,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",NORMAL BUTANE,30.25989,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,0.0,2237.0,NO,NO,YES,1/11/2010 14:45,1/15/2010 15:00,0.0,29360.0,136233.0,,,,,165593,900.0,0.0,346500.0
11,1/11/2010 2:47 PM,"NUSTAR LOGISTICS, L.P.",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,3.0,0.0,NO,NO,YES,1/11/2010 14:55,1/11/2010 22:08,0.0,30000.0,415.0,10000.0,7971.0,308883.0,0.0,357269,480.0,0.0,25980.0
12,1/11/2010 3:00 PM,JAYHAWK PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,None,38.34519,-98.31356,CORROSION,INTERNAL,2.0,1.0,1.0,NO,NO,YES,1/11/2010 15:10,1/13/2010 14:00,,2000.0,150.0,0.0,3000.0,6500.0,500.0,12150,600.0,0.0,168600.0
13,1/11/2010 11:00 PM,CONOCOPHILLIPS,ONSHORE,TANK,CRUDE OIL,None,35.94466,-96.75427,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,51.0,2.0,NO,NO,NO,NA,NA,,5000.0,150.0,0.0,0.0,100.0,32600.0,37850,0.0,0.0,0.0
14,1/12/2010 10:25 AM,"PLAINS MARKETING, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,None,35.93749,-96.74417,CORROSION,INTERNAL,21.0,21.0,0.0,NO,NO,YES,1/12/2010 10:25,1/14/2010 10:25,0.0,6826.0,150.0,0.0,13357.0,0.0,0.0,20333,0.0,0.0,172800.0
15,1/12/2010 2:30 PM,"CCPS TRANSPORTATION, LLC",ONSHORE,ABOVEGROUND,CRUDE OIL,None,40.16833,-90.56593,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.19,0.0,NO,NO,NO,NA,NA,,2500.0,0.0,0.0,30000.0,0.0,0.0,32500,0.0,0.0,0.0
16,1/12/2010 7:08 PM,"MAGELLAN AMMONIA PIPELINE, L.P.",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,0.0,445.0,NO,NO,YES,1/12/2010 19:08,1/20/2010 14:34,19.0,175000.0,34000.0,68000.0,324000.0,1901615.0,15000.0,2517615,0.0,0.0,674760.0
17,1/13/2010 7:36 AM,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PROPYLENE,30.1724,-90.782,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0.0,3.49,NO,NO,NO,NA,NA,0.0,0.0,254.0,0.0,0.0,0.0,0.0,254,0.0,0.0,0.0
18,1/13/2010 1:30 PM,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6.0,6.0,0.0,NO,NO,NO,NA,NA,,0.0,504.0,0.0,0.0,30000.0,0.0,30504,0.0,0.0,0.0
19,1/13/2010 3:30 PM,"KOCH PIPELINE COMPANY, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,None,46.8197,-95.1489,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0.0,0.48,NO,NO,NO,NA,NA,0.0,0.0,34.0,0.0,0.0,64645.0,2000.0,66679,0.0,0.0,0.0
20,1/14/2010 1:15 PM,KIANTONE PIPELINE CORP,ONSHORE,ABOVEGROUND,CRUDE OIL,None,42.38229,-78.91763,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.2,0.04,NO,NO,NO,NA,NA,,5000.0,17.0,0.0,50000.0,20000.0,0.0,75017,0.0,0.0,0.0
21,1/15/2010 7:05 AM,PACIFIC PIPELINE SYSTEM LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,None,33.80933,-118.25413,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1.0,1.0,0.0,NO,NO,NO,NA,NA,,0.0,75000.0,0.0,1000000.0,3500000.0,0.0,4575000,0.0,0.0,0.0
22,1/15/2010 3:00 PM,JAYHAWK PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,None,38.81386,-99.42139,CORROSION,INTERNAL,5.0,2.0,3.0,NO,NO,YES,1/15/2010 15:10,1/16/2010 11:00,,0.0,180.0,700.0,0.0,1500.0,1500.0,3880,600.0,0.0,71400.0
23,1/18/2010 10:00 AM,"TE PRODUCTS PIPELINE COMPANY, LLC",ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,0.0,2.0,NO,NO,NO,NA,NA,,1000.0,100.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,0.0
24,1/19/2010 1:10 PM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",JET FUEL,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,0.9,0.89,NO,NO,NO,NA,NA,,3500.0,500.0,0.0,10000.0,12000.0,0.0,26000,0.0,0.0,0.0
25,1/19/2010 8:00 PM,EXPLORER PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,2.0,1.0,NO,NO,YES,1/19/2010 20:01,1/20/2010 9:30,0.0,41000.0,85.0,0.0,5100.0,0.0,0.0,46185,60.0,0.0,48540.0
26,1/21/2010 9:30 AM,PACIFIC PIPELINE SYSTEM LLC,ONSHORE,TANK,CRUDE OIL,None,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,2.0,0.0,NO,NO,NO,NA,NA,,1200.0,150.0,0.0,2000.0,4457.0,0.0,7807,0.0,0.0,0.0
27,1/21/2010 12:30 PM,PLANTATION PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),30.78251,-90.75851,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,6.76,0.0,NO,NO,YES,1/21/2010 12:30,1/21/2010 20:35,,85000.0,570.0,0.0,105000.0,10000.0,0.0,200570,0.0,0.0,29100.0
28,1/21/2010 6:43 PM,PLANTATION PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),31.63251,-89.52266,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.71,0.0,NO,NO,NA,,,,2130.0,0.0,0.0,670.0,0.0,0.0,2800,0.0,0.0,
29,1/22/2010 12:05 PM,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",37.803255,-96.873398,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,1.2,0.0,NO,NO,NO,NA,NA,0.0,0.0,0.0,0.0,3623.0,3263.0,1981.0,8867,0.0,0.0,0.0
30,1/24/2010 12:30 PM,"TE PRODUCTS PIPELINE COMPANY, LLC",ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.0,1.0,NO,NO,NO,NA,NA,,2000.0,100.0,0.0,0.0,0.0,0.0,2100,0.0,0.0,0.0
31,1/25/2010 11:07 AM,LOOP INC,ONSHORE,ABOVEGROUND,CRUDE OIL,None,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202.0,202.0,0.0,NO,NO,YES,1/25/2010 23:42,1/27/2010 14:00,0.0,30000.0,0.0,0.0,600000.0,37000.0,0.0,667000,45300.0,0.0,137880.0
32,1/27/2010 3:30 PM,"SHELL PIPELINE CO., L.P.",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",29.8916,-93.9897,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0.0,0.6,NO,NO,NO,NA,NA,,50000.0,65.0,0.0,10000.0,0.0,0.0,60065,0.0,0.0,0.0
33,1/28/2010 11:00 AM,BELLE FOURCHE PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,None,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20.0,13.0,7.0,NO,NO,YES,1/28/2010 11:05,1/28/2010 18:00,0.0,500.0,420.0,0.0,750.0,9500.0,0.0,11170,300.0,0.0,24900.0
34,2/2/2010 8:00 AM,SEMGROUP LP,ONSHORE,ABOVEGROUND,CRUDE OIL,None,37.355914,-98.206945,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.0,10.0,5.0,NO,NO,NA,,,0.0,3000.0,500.0,0.0,2000.0,1000.0,0.0,6500,0.0,0.0,
35,2/4/2010 3:10 PM,WEST SHORE PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",42.9289,-87.8884,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.19,0.05,NO,NO,NA,,,,2500.0,35.0,0.0,0.0,1986.0,0.0,4521,0.0,0.0,
36,2/6/2010 11:30 AM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,1.67,1.33,NO,NO,NA,,,,100.0,200.0,0.0,3000.0,1500.0,0.0,4800,0.0,0.0,
37,2/8/2010 12:20 PM,"SHELL PIPELINE CO., L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,None,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,0.0,5.0,NO,NO,YES,2/8/2010 12:21,2/10/2010 10:23,0.0,230000.0,400.0,30000.0,120000.0,0.0,0.0,380400,60.0,0.0,165720.0
38,2/9/2010 10:00 AM,PLANTATION PIPE LINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.64,0.0,NO,NO,NA,,,,500.0,0.0,0.0,450.0,0.0,0.0,950,0.0,0.0,
39,2/9/2010 3:25 PM,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",39.8106,-86.3342,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0.71,0.0,NO,NO,NO,NA,NA,0.0,0.0,0.0,0.0,2314.0,3063.0,0.0,5377,0.0,0.0,0.0
40,2/16/2010 7:42 AM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.12,0.0,NO,NO,NO,NA,NA,,25900.0,15.0,0.0,1500.0,1900.0,1200.0,30515,0.0,0.0,0.0
41,2/17/2010 5:45 PM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",39.13776,-94.5968,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.12,0.0,NO,NO,NO,NA,NA,,1000.0,14.0,0.0,0.0,500.0,0.0,1514,0.0,0.0,0.0
42,2/19/2010 6:50 AM,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",40.6086,-74.2399,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,0.95,0.0,NO,NO,YES,2/19/2010 6:52,2/19/2010 13:52,,0.0,0.0,0.0,4400.0,12700.0,0.0,17100,120.0,0.0,25200.0
43,2/20/2010 6:30 AM,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,None,32.4785,-94.8679,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8.0,6.0,2.0,NO,NO,YES,2/20/2010 6:35,2/20/2010 23:30,0.0,3449.0,152.0,0.0,5634.0,84278.0,0.0,93513,300.0,0.0,60900.0
44,2/21/2010 12:45 PM,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,None,31.13284,-101.18974,CORROSION,INTERNAL,9.0,9.0,0.0,NO,NO,NO,NA,NA,0.0,700.0,585.0,0.0,600.0,11000.0,4600.0,17485,0.0,0.0,0.0
45,2/22/2010 10:38 AM,LDH ENERGY PIPELINE L.P.,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),32.22471,-101.4044,CORROSION,EXTERNAL,1.0,0.0,1.0,NO,NO,NO,NA,NA,0.0,0.0,2360.0,0.0,0.0,0.0,24500.0,26860,0.0,0.0,0.0
46,2/22/2010 10:56 AM,CONOCOPHILLIPS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",47.71696,-117.35583,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,0.0,0.71,NO,NO,NO,NA,NA,0.0,500.0,90.0,0.0,2200.0,6000.0,0.0,8790,0.0,0.0,0.0
47,2/23/2010 11:30 PM,ONEOK NGL PIPELINE LP,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),41.21235,-95.8301,INCORRECT OPERATION,INCORRECT VALVE POSITION,28.0,0.0,28.0,NO,NO,NO,NA,NA,0.0,0.0,2286.0,0.0,0.0,126721.0,0.0,129007,0.0,0.0,0.0
48,2/25/2010 4:50 AM,ONEOK NGL PIPELINE LP,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",RAW FEED,36.6659,-97.8846,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718.0,0.0,13718.0,NO,NO,YES,2/25/2010 6:45,3/22/2010 4:52,5.0,966352.0,622934.0,7500.0,3000.0,0.0,0.0,1599786,6900.0,0.0,2153220.0
49,2/25/2010 10:00 AM,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",35.48354,-80.7357,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0.55,0.0,NO,NO,NA,,,,15200.0,50.0,0.0,0.0,0.0,700.0,15950,0.0,0.0,
50,3/1/2010 8:10 AM,MID - VALLEY PIPELINE CO,ONSHORE,UNDERGROUND,CRUDE OIL,None,32.48325,-94.83034,CORROSION,INTERNAL,198.0,196.0,2.0,NO,NO,YES,3/1/2010 8:12,3/1/2010 14:00,0.0,1134.0,150.0,0.0,11470.0,3264.0,0.0,16018,120.0,0.0,20880.0
51,3/1/2010 9:16 AM,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,None,47.68857,-95.41732,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,3.0,3.0,0.0,NO,NO,YES,3/1/2010 9:17,3/1/2010 12:03,0.0,0.0,80.0,0.0,0.0,3000.0,16000.0,19080,60.0,0.0,9960.0
52,3/1/2010 11:50 AM,"CHAPARRAL ENERGY, LLC",ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),None,37.10847,-100.80037,ALL OTHER CAUSES,MISCELLANEOUS,2.99,0.0,2.99,NO,NO,YES,3/1/2010 11:51,3/5/2010 2:00,0.0,3500.0,10.0,0.0,0.0,0.0,0.0,3510,60.0,0.0,310140.0
53,3/3/2010 10:20 PM,ENTERPRISE PRODUCTS OPERATING LLC,OFFSHORE,SUBSEA,CRUDE OIL,None,28.10406,-90.79238,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,0.0,0.5,NO,NO,NO,NA,NA,0.0,100.0,75.0,0.0,598.0,0.0,0.0,773,0.0,0.0,0.0
54,3/4/2010 5:30 AM,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),30.16801,-93.34001,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,7.88,7.08,0.8,NO,NO,YES,3/4/2010 5:30,3/4/2010 7:30,,7000.0,500.0,13000.0,15000.0,27000.0,2500.0,65000,0.0,0.0,7200.0
55,3/4/2010 11:00 PM,EXXONMOBIL PIPELINE CO,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PROPYLENE,30.17319,-90.78774,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.31,0.0,0.31,NO,NO,YES,3/4/2010 23:00,3/5/2010 10:00,0.0,13500.0,94.0,0.0,0.0,0.0,0.0,13594,0.0,0.0,39600.0
56,3/8/2010 11:01 AM,SINCLAIR TRANSPORTATION COMPANY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",39.36359,-93.45965,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,84.0,83.0,1.0,NO,NO,NO,NA,NA,0.0,0.0,90.0,0.0,5849.0,5348.0,0.0,11287,0.0,0.0,0.0
57,3/8/2010 11:30 AM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),39.13844,-94.60013,NATURAL FORCE DAMAGE,TEMPERATURE,168.0,75.0,93.0,NO,NO,NO,NA,NA,0.0,0.0,11625.0,0.0,1000.0,72995.0,0.0,85620,0.0,0.0,0.0
58,3/9/2010 11:25 AM,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,None,32.48248,-94.8391,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.5,0.5,NO,NO,NO,NA,NA,,2500.0,39.0,0.0,2500.0,0.0,0.0,5039,0.0,0.0,0.0
59,3/9/2010 2:15 PM,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,None,32.06839,-96.47081,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1.0,0.05,0.95,NO,NO,NO,NA,NA,,17019.0,78.0,0.0,7967.0,1000.0,0.0,26064,0.0,0.0,0.0
60,3/11/2010 10:00 AM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,None,46.68889,-92.05972,NATURAL FORCE DAMAGE,TEMPERATURE,0.75,0.75,0.0,NO,NO,NO,NA,NA,0.0,1000.0,60.0,0.0,5000.0,2000.0,0.0,8060,0.0,0.0,0.0
61,3/14/2010 10:04 PM,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",43.29183,-95.15157,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,115.0,45.0,70.0,NO,NO,YES,3/14/2010 22:05,3/17/2010 15:15,0.0,50.0,9000.0,2500.0,340000.0,160000.0,0.0,511550,60.0,0.0,234600.0
62,3/15/2010 9:30 AM,SUNOCO PIPELINE L.P.,ONSHORE,TANK,CRUDE OIL,None,32.07267,-98.46948,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.0,0.12,NO,NO,NO,NA,NA,,0.0,10.0,0.0,755.0,0.0,0.0,765,0.0,0.0,0.0
